timeCNT,planningAngle::waist_yaw_joint,planningAngle::waist_pitch_joint,planningAngle::waist_roll_joint,planningAngle::left_shoulder_pitch_joint,planningAngle::left_shoulder_roll_joint,planningAngle::left_shoulder_yaw_joint,planningAngle::left_elbow_joint,planningAngle::left_wrist_yaw_joint,planningAngle::left_wrist_pitch_joint,planningAngle::left_wrist_roll_joint,planningAngle::right_shoulder_pitch_joint,planningAngle::right_shoulder_roll_joint,planningAngle::right_shoulder_yaw_joint,planningAngle::right_elbow_joint,planningAngle::right_wrist_yaw_joint,planningAngle::right_wrist_pitch_joint,planningAngle::right_wrist_roll_joint
0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
10.0,0.0,0.0,0.0,0.39113333333333333,0.0,0.0,-1.2015333333333333,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
20.0,0.0,0.0,0.0,0.3822666666666667,0.0,0.0,-1.2030666666666667,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
30.0,0.0,0.0,0.0,0.3734,0.0,0.0,-1.2046,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
40.0,0.0,0.0,0.0,0.3645333333333334,0.0,0.0,-1.2061333333333333,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
50.0,0.0,0.0,0.0,0.3556666666666667,0.0,0.0,-1.2076666666666667,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
60.0,0.0,0.0,0.0,0.3468,0.0,0.0,-1.2092,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
70.0,0.0,0.0,0.0,0.33793333333333336,0.0,0.0,-1.2107333333333332,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
80.0,0.0,0.0,0.0,0.3290666666666667,0.0,0.0,-1.2122666666666666,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
90.0,0.0,0.0,0.0,0.32020000000000004,0.0,0.0,-1.2138,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
100.0,0.0,0.0,0.0,0.31133333333333335,0.0,0.0,-1.2153333333333334,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
110.0,0.0,0.0,0.0,0.30246666666666666,0.0,0.0,-1.2168666666666665,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
120.0,0.0,0.0,0.0,0.2936,0.0,0.0,-1.2184,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
130.0,0.0,0.0,0.0,0.28473333333333334,0.0,0.0,-1.2199333333333333,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
140.0,0.0,0.0,0.0,0.2758666666666667,0.0,0.0,-1.2214666666666667,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
150.0,0.0,0.0,0.0,0.267,0.0,0.0,-1.2229999999999999,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
160.0,0.0,0.0,0.0,0.2581333333333333,0.0,0.0,-1.2245333333333333,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
170.0,0.0,0.0,0.0,0.2492666666666667,0.0,0.0,-1.2260666666666666,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
180.0,0.0,0.0,0.0,0.24040000000000003,0.0,0.0,-1.2276,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
190.0,0.0,0.0,0.0,0.23153333333333334,0.0,0.0,-1.2291333333333332,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
200.0,0.0,0.0,0.0,0.22266666666666668,0.0,0.0,-1.2306666666666666,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
210.0,0.0,0.0,0.0,0.21380000000000002,0.0,0.0,-1.2322,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
220.0,0.0,0.0,0.0,0.20493333333333336,0.0,0.0,-1.2337333333333333,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
230.0,0.0,0.0,0.0,0.1960666666666667,0.0,0.0,-1.2352666666666665,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
240.0,0.0,0.0,0.0,0.18720000000000003,0.0,0.0,-1.2368,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
250.0,0.0,0.0,0.0,0.17833333333333334,0.0,0.0,-1.2383333333333333,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
260.0,0.0,0.0,0.0,0.16946666666666668,0.0,0.0,-1.2398666666666667,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
270.0,0.0,0.0,0.0,0.16060000000000002,0.0,0.0,-1.2414,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
280.0,0.0,0.0,0.0,0.15173333333333336,0.0,0.0,-1.2429333333333332,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
290.0,0.0,0.0,0.0,0.1428666666666667,0.0,0.0,-1.2444666666666666,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
300.0,0.0,0.0,0.0,0.134,0.0,0.0,-1.246,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
310.0,0.0,0.0,0.0,0.12513333333333337,0.0,0.0,-1.2475333333333334,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
320.0,0.0,0.0,0.0,0.11626666666666668,0.0,0.0,-1.2490666666666665,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
330.0,0.0,0.0,0.0,0.1074,0.0,0.0,-1.2506,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
340.0,0.0,0.0,0.0,0.09853333333333336,0.0,0.0,-1.2521333333333333,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
350.0,0.0,0.0,0.0,0.08966666666666667,0.0,0.0,-1.2536666666666667,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
