timeCNT,planningAngle::waist_yaw_joint,planningAngle::waist_pitch_joint,planningAngle::waist_roll_joint,planningAngle::left_shoulder_pitch_joint,planningAngle::left_shoulder_roll_joint,planningAngle::left_shoulder_yaw_joint,planningAngle::left_elbow_joint,planningAngle::left_wrist_yaw_joint,planningAngle::left_wrist_pitch_joint,planningAngle::left_wrist_roll_joint,planningAngle::right_shoulder_pitch_joint,planningAngle::right_shoulder_roll_joint,planningAngle::right_shoulder_yaw_joint,planningAngle::right_elbow_joint,planningAngle::right_wrist_yaw_joint,planningAngle::right_wrist_pitch_joint,planningAngle::right_wrist_roll_joint
0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
10.0,0.0,0.0,0.0,0.3915,0.0,0.0013000000000000002,-1.20145,-1.56315,-0.0014999999999999998,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
20.0,0.0,0.0,0.0,0.383,0.0,0.0026000000000000003,-1.2028999999999999,-1.5563,-0.0029999999999999996,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
30.0,0.0,0.0,0.0,0.3745,0.0,0.0039000000000000007,-1.20435,-1.54945,-0.0045,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
40.0,0.0,0.0,0.0,0.366,0.0,0.005200000000000001,-1.2058,-1.5426,-0.005999999999999999,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
50.0,0.0,0.0,0.0,0.35750000000000004,0.0,0.006500000000000001,-1.20725,-1.5357500000000002,-0.0075,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
60.0,0.0,0.0,0.0,0.34900000000000003,0.0,0.007800000000000001,-1.2086999999999999,-1.5289000000000001,-0.009,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
70.0,0.0,0.0,0.0,0.3405,0.0,0.0091,-1.21015,-1.5220500000000001,-0.010499999999999999,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
80.0,0.0,0.0,0.0,0.332,0.0,0.010400000000000001,-1.2116,-1.5152,-0.011999999999999999,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
90.0,0.0,0.0,0.0,0.3235,0.0,0.011700000000000002,-1.21305,-1.50835,-0.013499999999999998,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
100.0,0.0,0.0,0.0,0.315,0.0,0.013000000000000001,-1.2145,-1.5015,-0.015,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
