timeCNT,planningAngle::waist_yaw_joint,planningAngle::waist_pitch_joint,planningAngle::waist_roll_joint,planningAngle::left_shoulder_pitch_joint,planningAngle::left_shoulder_roll_joint,planningAngle::left_shoulder_yaw_joint,planningAngle::left_elbow_joint,planningAngle::left_wrist_yaw_joint,planningAngle::left_wrist_pitch_joint,planningAngle::left_wrist_roll_joint,planningAngle::right_shoulder_pitch_joint,planningAngle::right_shoulder_roll_joint,planningAngle::right_shoulder_yaw_joint,planningAngle::right_elbow_joint,planningAngle::right_wrist_yaw_joint,planningAngle::right_wrist_pitch_joint,planningAngle::right_wrist_roll_joint
0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
10.0,0.0,0.0,0.0,0.3802666666666667,0.0,0.0,-1.1964,-1.5608666666666666,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
20.0,0.0,0.0,0.0,0.3605333333333334,0.0,0.0,-1.1927999999999999,-1.5517333333333334,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
30.0,0.0,0.0,0.0,0.3408,0.0,0.0,-1.1892,-1.5426,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
40.0,0.0,0.0,0.0,0.32106666666666667,0.0,0.0,-1.1856,-1.5334666666666668,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
50.0,0.0,0.0,0.0,0.30133333333333334,0.0,0.0,-1.182,-1.5243333333333333,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
60.0,0.0,0.0,0.0,0.2816,0.0,0.0,-1.1784,-1.5152,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
70.0,0.0,0.0,0.0,0.2618666666666667,0.0,0.0,-1.1748,-1.5060666666666667,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
80.0,0.0,0.0,0.0,0.24213333333333334,0.0,0.0,-1.1712,-1.4969333333333334,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
90.0,0.0,0.0,0.0,0.22240000000000001,0.0,0.0,-1.1676,-1.4878,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
100.0,0.0,0.0,0.0,0.2026666666666667,0.0,0.0,-1.164,-1.4786666666666668,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
110.0,0.0,0.0,0.0,0.18293333333333334,0.0,0.0,-1.1603999999999999,-1.4695333333333334,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
120.0,0.0,0.0,0.0,0.1632,0.0,0.0,-1.1568,-1.4604000000000001,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
130.0,0.0,0.0,0.0,0.1434666666666667,0.0,0.0,-1.1532,-1.4512666666666667,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
140.0,0.0,0.0,0.0,0.12373333333333336,0.0,0.0,-1.1496,-1.4421333333333335,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
150.0,0.0,0.0,0.0,0.10399999999999998,0.0,0.0,-1.146,-1.433,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
160.0,0.0,0.0,0.0,0.08426666666666666,0.0,0.0,-1.1423999999999999,-1.4238666666666666,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
170.0,0.0,0.0,0.0,0.06453333333333333,0.0,0.0,-1.1388,-1.4147333333333334,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
180.0,0.0,0.0,0.0,0.044800000000000006,0.0,0.0,-1.1352,-1.4056,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
190.0,0.0,0.0,0.0,0.02506666666666668,0.0,0.0,-1.1316,-1.3964666666666667,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
200.0,0.0,0.0,0.0,0.005333333333333357,0.0,0.0,-1.128,-1.3873333333333333,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
210.0,0.0,0.0,0.0,-0.014400000000000024,0.0,0.0,-1.1244,-1.3782,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
220.0,0.0,0.0,0.0,-0.03413333333333335,0.0,0.0,-1.1208,-1.3690666666666667,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
230.0,0.0,0.0,0.0,-0.053866666666666674,0.0,0.0,-1.1172,-1.3599333333333334,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
