timeCNT,planningAngle::waist_yaw_joint,planningAngle::waist_pitch_joint,planningAngle::waist_roll_joint,planningAngle::left_shoulder_pitch_joint,planningAngle::left_shoulder_roll_joint,planningAngle::left_shoulder_yaw_joint,planningAngle::left_elbow_joint,planningAngle::left_wrist_yaw_joint,planningAngle::left_wrist_pitch_joint,planningAngle::left_wrist_roll_joint,planningAngle::right_shoulder_pitch_joint,planningAngle::right_shoulder_roll_joint,planningAngle::right_shoulder_yaw_joint,planningAngle::right_elbow_joint,planningAngle::right_wrist_yaw_joint,planningAngle::right_wrist_pitch_joint,planningAngle::right_wrist_roll_joint
0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
10.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.3802666666666667,0.0,0.0,-1.1964,1.5582,0.0,0.0
20.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.3605333333333334,0.0,0.0,-1.1927999999999999,1.5464,0.0,0.0
30.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.3408,0.0,0.0,-1.1892,1.5346,0.0,0.0
40.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.32106666666666667,0.0,0.0,-1.1856,1.5228000000000002,0.0,0.0
50.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.30133333333333334,0.0,0.0,-1.182,1.5110000000000001,0.0,0.0
60.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.2816,0.0,0.0,-1.1784,1.4992,0.0,0.0
70.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.2618666666666667,0.0,0.0,-1.1748,1.4874,0.0,0.0
80.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.24213333333333334,0.0,0.0,-1.1712,1.4756,0.0,0.0
90.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.22240000000000001,0.0,0.0,-1.1676,1.4638,0.0,0.0
100.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.2026666666666667,0.0,0.0,-1.164,1.452,0.0,0.0
110.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.18293333333333334,0.0,0.0,-1.1603999999999999,1.4402000000000001,0.0,0.0
120.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.1632,0.0,0.0,-1.1568,1.4284000000000001,0.0,0.0
130.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.1434666666666667,0.0,0.0,-1.1532,1.4166,0.0,0.0
140.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.12373333333333336,0.0,0.0,-1.1496,1.4048,0.0,0.0
150.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.10399999999999998,0.0,0.0,-1.146,1.393,0.0,0.0
160.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.08426666666666666,0.0,0.0,-1.1423999999999999,1.3812,0.0,0.0
170.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.06453333333333333,0.0,0.0,-1.1388,1.3694000000000002,0.0,0.0
180.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.044800000000000006,0.0,0.0,-1.1352,1.3576000000000001,0.0,0.0
190.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.02506666666666668,0.0,0.0,-1.1316,1.3458,0.0,0.0
200.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.005333333333333357,0.0,0.0,-1.128,1.334,0.0,0.0
210.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.014400000000000024,0.0,0.0,-1.1244,1.3222,0.0,0.0
220.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.03413333333333335,0.0,0.0,-1.1208,1.3104,0.0,0.0
230.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.053866666666666674,0.0,0.0,-1.1172,1.2986,0.0,0.0
240.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.0736,0.0,0.0,-1.1136,1.2868,0.0,0.0
250.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.09333333333333332,0.0,0.0,-1.1099999999999999,1.275,0.0,0.0
