timeCNT,planningAngle::waist_yaw_joint,planningAngle::waist_pitch_joint,planningAngle::waist_roll_joint,planningAngle::left_shoulder_pitch_joint,planningAngle::left_shoulder_roll_joint,planningAngle::left_shoulder_yaw_joint,planningAngle::left_elbow_joint,planningAngle::left_wrist_yaw_joint,planningAngle::left_wrist_pitch_joint,planningAngle::left_wrist_roll_joint,planningAngle::right_shoulder_pitch_joint,planningAngle::right_shoulder_roll_joint,planningAngle::right_shoulder_yaw_joint,planningAngle::right_elbow_joint,planningAngle::right_wrist_yaw_joint,planningAngle::right_wrist_pitch_joint,planningAngle::right_wrist_roll_joint
0.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
10.0,0.0,0.0,0.0,0.3906666666666667,0.0,0.0,-1.1986666666666665,-1.57,0.0013333333333333335,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
20.0,0.0,0.0,0.0,0.38133333333333336,0.0,0.0,-1.1973333333333334,-1.57,0.002666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
30.0,0.0,0.0,0.0,0.372,0.0,0.0,-1.196,-1.57,0.004,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
40.0,0.0,0.0,0.0,0.3626666666666667,0.0,0.0,-1.1946666666666665,-1.57,0.005333333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
50.0,0.0,0.0,0.0,0.35333333333333333,0.0,0.0,-1.1933333333333334,-1.57,0.006666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
60.0,0.0,0.0,0.0,0.34400000000000003,0.0,0.0,-1.192,-1.57,0.008,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
70.0,0.0,0.0,0.0,0.33466666666666667,0.0,0.0,-1.1906666666666665,-1.57,0.009333333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
80.0,0.0,0.0,0.0,0.32533333333333336,0.0,0.0,-1.1893333333333334,-1.57,0.010666666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
90.0,0.0,0.0,0.0,0.316,0.0,0.0,-1.188,-1.57,0.012,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
100.0,0.0,0.0,0.0,0.3066666666666667,0.0,0.0,-1.1866666666666665,-1.57,0.013333333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
110.0,0.0,0.0,0.0,0.29733333333333334,0.0,0.0,-1.1853333333333333,-1.57,0.014666666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
120.0,0.0,0.0,0.0,0.28800000000000003,0.0,0.0,-1.184,-1.57,0.016,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
130.0,0.0,0.0,0.0,0.2786666666666667,0.0,0.0,-1.1826666666666665,-1.57,0.017333333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
140.0,0.0,0.0,0.0,0.26933333333333337,0.0,0.0,-1.1813333333333333,-1.57,0.018666666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
150.0,0.0,0.0,0.0,0.26,0.0,0.0,-1.18,-1.57,0.02,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
160.0,0.0,0.0,0.0,0.2506666666666667,0.0,0.0,-1.1786666666666665,-1.57,0.021333333333333336,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
170.0,0.0,0.0,0.0,0.24133333333333334,0.0,0.0,-1.1773333333333333,-1.57,0.02266666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
180.0,0.0,0.0,0.0,0.232,0.0,0.0,-1.176,-1.57,0.024,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
190.0,0.0,0.0,0.0,0.22266666666666668,0.0,0.0,-1.1746666666666665,-1.57,0.025333333333333336,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
200.0,0.0,0.0,0.0,0.21333333333333335,0.0,0.0,-1.1733333333333333,-1.57,0.02666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
210.0,0.0,0.0,0.0,0.20400000000000001,0.0,0.0,-1.172,-1.57,0.028,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
220.0,0.0,0.0,0.0,0.19466666666666668,0.0,0.0,-1.1706666666666665,-1.57,0.029333333333333336,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
230.0,0.0,0.0,0.0,0.18533333333333335,0.0,0.0,-1.1693333333333333,-1.57,0.03066666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
240.0,0.0,0.0,0.0,0.17600000000000002,0.0,0.0,-1.168,-1.57,0.032,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
250.0,0.0,0.0,0.0,0.16666666666666669,0.0,0.0,-1.1666666666666665,-1.57,0.03333333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
260.0,0.0,0.0,0.0,0.15733333333333335,0.0,0.0,-1.1653333333333333,-1.57,0.034666666666666665,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
270.0,0.0,0.0,0.0,0.14800000000000002,0.0,0.0,-1.164,-1.57,0.036000000000000004,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
280.0,0.0,0.0,0.0,0.13866666666666672,0.0,0.0,-1.1626666666666665,-1.57,0.037333333333333336,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
290.0,0.0,0.0,0.0,0.12933333333333336,0.0,0.0,-1.1613333333333333,-1.57,0.03866666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
300.0,0.0,0.0,0.0,0.12000000000000005,0.0,0.0,-1.16,-1.57,0.04,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
310.0,0.0,0.0,0.0,0.11066666666666669,0.0,0.0,-1.1586666666666667,-1.57,0.04133333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
320.0,0.0,0.0,0.0,0.10133333333333339,0.0,0.0,-1.1573333333333333,-1.57,0.04266666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
330.0,0.0,0.0,0.0,0.09200000000000003,0.0,0.0,-1.156,-1.57,0.044000000000000004,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
340.0,0.0,0.0,0.0,0.08266666666666667,0.0,0.0,-1.1546666666666667,-1.57,0.04533333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
350.0,0.0,0.0,0.0,0.07333333333333336,0.0,0.0,-1.1533333333333333,-1.57,0.04666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
360.0,0.0,0.0,0.0,0.064,0.0,0.0,-1.152,-1.57,0.048,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
370.0,0.0,0.0,0.0,0.0546666666666667,0.0,0.0,-1.1506666666666667,-1.57,0.04933333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
380.0,0.0,0.0,0.0,0.04533333333333334,0.0,0.0,-1.1493333333333333,-1.57,0.05066666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
390.0,0.0,0.0,0.0,0.03600000000000003,0.0,0.0,-1.148,-1.57,0.052000000000000005,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
400.0,0.0,0.0,0.0,0.026666666666666672,0.0,0.0,-1.1466666666666667,-1.57,0.05333333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
410.0,0.0,0.0,0.0,0.017333333333333367,0.0,0.0,-1.1453333333333333,-1.57,0.05466666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
420.0,0.0,0.0,0.0,0.008000000000000007,0.0,0.0,-1.144,-1.57,0.056,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
430.0,0.0,0.0,0.0,-0.0013333333333332975,0.0,0.0,-1.1426666666666667,-1.57,0.05733333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
440.0,0.0,0.0,0.0,-0.010666666666666658,0.0,0.0,-1.1413333333333333,-1.57,0.05866666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
450.0,0.0,0.0,0.0,-0.019999999999999962,0.0,0.0,-1.14,-1.57,0.060000000000000005,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
460.0,0.0,0.0,0.0,-0.029333333333333322,0.0,0.0,-1.1386666666666667,-1.57,0.06133333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
470.0,0.0,0.0,0.0,-0.03866666666666663,0.0,0.0,-1.1373333333333333,-1.57,0.06266666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
480.0,0.0,0.0,0.0,-0.04799999999999999,0.0,0.0,-1.136,-1.57,0.064,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
490.0,0.0,0.0,0.0,-0.05733333333333329,0.0,0.0,-1.1346666666666667,-1.57,0.06533333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
500.0,0.0,0.0,0.0,-0.06666666666666665,0.0,0.0,-1.1333333333333333,-1.57,0.06666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
510.0,0.0,0.0,0.0,-0.07599999999999996,0.0,0.0,-1.132,-1.57,0.068,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
520.0,0.0,0.0,0.0,-0.08533333333333332,0.0,0.0,-1.1306666666666667,-1.57,0.06933333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
530.0,0.0,0.0,0.0,-0.09466666666666662,0.0,0.0,-1.1293333333333333,-1.57,0.07066666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
540.0,0.0,0.0,0.0,-0.10399999999999998,0.0,0.0,-1.128,-1.57,0.07200000000000001,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
550.0,0.0,0.0,0.0,-0.11333333333333329,0.0,0.0,-1.1266666666666667,-1.57,0.07333333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
560.0,0.0,0.0,0.0,-0.12266666666666659,0.0,0.0,-1.1253333333333333,-1.57,0.07466666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
570.0,0.0,0.0,0.0,-0.132,0.0,0.0,-1.1239999999999999,-1.57,0.076,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
580.0,0.0,0.0,0.0,-0.1413333333333333,0.0,0.0,-1.1226666666666667,-1.57,0.07733333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
590.0,0.0,0.0,0.0,-0.15066666666666662,0.0,0.0,-1.1213333333333333,-1.57,0.07866666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
600.0,0.0,0.0,0.0,-0.15999999999999992,0.0,0.0,-1.1199999999999999,-1.57,0.08,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
610.0,0.0,0.0,0.0,-0.16933333333333334,0.0,0.0,-1.1186666666666667,-1.57,0.08133333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
620.0,0.0,0.0,0.0,-0.17866666666666664,0.0,0.0,-1.1173333333333333,-1.57,0.08266666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
630.0,0.0,0.0,0.0,-0.18799999999999994,0.0,0.0,-1.1159999999999999,-1.57,0.084,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
640.0,0.0,0.0,0.0,-0.19733333333333325,0.0,0.0,-1.1146666666666667,-1.57,0.08533333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
650.0,0.0,0.0,0.0,-0.20666666666666667,0.0,0.0,-1.1133333333333333,-1.57,0.08666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
660.0,0.0,0.0,0.0,-0.21599999999999997,0.0,0.0,-1.1119999999999999,-1.57,0.08800000000000001,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
670.0,0.0,0.0,0.0,-0.22533333333333327,0.0,0.0,-1.1106666666666667,-1.57,0.08933333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
680.0,0.0,0.0,0.0,-0.2346666666666667,0.0,0.0,-1.1093333333333333,-1.57,0.09066666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
690.0,0.0,0.0,0.0,-0.244,0.0,0.0,-1.1079999999999999,-1.57,0.092,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
700.0,0.0,0.0,0.0,-0.2533333333333333,0.0,0.0,-1.1066666666666667,-1.57,0.09333333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
710.0,0.0,0.0,0.0,-0.2626666666666666,0.0,0.0,-1.1053333333333333,-1.57,0.09466666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
720.0,0.0,0.0,0.0,-0.272,0.0,0.0,-1.1039999999999999,-1.57,0.096,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
730.0,0.0,0.0,0.0,-0.2813333333333333,0.0,0.0,-1.1026666666666667,-1.57,0.09733333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
740.0,0.0,0.0,0.0,-0.29066666666666663,0.0,0.0,-1.1013333333333333,-1.57,0.09866666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
750.0,0.0,0.0,0.0,-0.29999999999999993,0.0,0.0,-1.1,-1.57,0.1,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
760.0,0.0,0.0,0.0,-0.30933333333333335,0.0,0.0,-1.0986666666666667,-1.57,0.10133333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
770.0,0.0,0.0,0.0,-0.31866666666666665,0.0,0.0,-1.0973333333333333,-1.57,0.10266666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
780.0,0.0,0.0,0.0,-0.32799999999999996,0.0,0.0,-1.096,-1.57,0.10400000000000001,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
790.0,0.0,0.0,0.0,-0.33733333333333326,0.0,0.0,-1.0946666666666667,-1.57,0.10533333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
800.0,0.0,0.0,0.0,-0.3466666666666667,0.0,0.0,-1.0933333333333333,-1.57,0.10666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
810.0,0.0,0.0,0.0,-0.356,0.0,0.0,-1.092,-1.57,0.108,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
820.0,0.0,0.0,0.0,-0.3653333333333333,0.0,0.0,-1.0906666666666667,-1.57,0.10933333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
830.0,0.0,0.0,0.0,-0.3746666666666666,0.0,0.0,-1.0893333333333333,-1.57,0.11066666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
840.0,0.0,0.0,0.0,-0.384,0.0,0.0,-1.088,-1.57,0.112,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
850.0,0.0,0.0,0.0,-0.3933333333333333,0.0,0.0,-1.0866666666666667,-1.57,0.11333333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
860.0,0.0,0.0,0.0,-0.4026666666666666,0.0,0.0,-1.0853333333333333,-1.57,0.11466666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
870.0,0.0,0.0,0.0,-0.4119999999999999,0.0,0.0,-1.084,-1.57,0.116,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
880.0,0.0,0.0,0.0,-0.42133333333333334,0.0,0.0,-1.0826666666666667,-1.57,0.11733333333333335,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
890.0,0.0,0.0,0.0,-0.43066666666666664,0.0,0.0,-1.0813333333333333,-1.57,0.11866666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
900.0,0.0,0.0,0.0,-0.43999999999999995,0.0,0.0,-1.08,-1.57,0.12000000000000001,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
910.0,0.0,0.0,0.0,-0.44933333333333325,0.0,0.0,-1.0786666666666667,-1.57,0.12133333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
920.0,0.0,0.0,0.0,-0.45866666666666667,0.0,0.0,-1.0773333333333333,-1.57,0.12266666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
930.0,0.0,0.0,0.0,-0.46799999999999997,0.0,0.0,-1.076,-1.57,0.124,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
940.0,0.0,0.0,0.0,-0.4773333333333333,0.0,0.0,-1.0746666666666667,-1.57,0.12533333333333335,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
950.0,0.0,0.0,0.0,-0.4866666666666666,0.0,0.0,-1.0733333333333333,-1.57,0.12666666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
960.0,0.0,0.0,0.0,-0.496,0.0,0.0,-1.072,-1.57,0.128,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
970.0,0.0,0.0,0.0,-0.5053333333333333,0.0,0.0,-1.0706666666666667,-1.57,0.12933333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
980.0,0.0,0.0,0.0,-0.5146666666666666,0.0,0.0,-1.0693333333333332,-1.57,0.13066666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
990.0,0.0,0.0,0.0,-0.524,0.0,0.0,-1.068,-1.57,0.132,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1000.0,0.0,0.0,0.0,-0.5333333333333333,0.0,0.0,-1.0666666666666667,-1.57,0.13333333333333333,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1010.0,0.0,0.0,0.0,-0.5426666666666666,0.0,0.0,-1.0653333333333332,-1.57,0.13466666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1020.0,0.0,0.0,0.0,-0.5519999999999999,0.0,0.0,-1.064,-1.57,0.136,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1030.0,0.0,0.0,0.0,-0.5613333333333334,0.0,0.0,-1.0626666666666666,-1.57,0.13733333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1040.0,0.0,0.0,0.0,-0.5706666666666667,0.0,0.0,-1.0613333333333332,-1.57,0.13866666666666666,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1050.0,0.0,0.0,0.0,-0.58,0.0,0.0,-1.06,-1.57,0.14,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1060.0,0.0,0.0,0.0,-0.5893333333333333,0.0,0.0,-1.0586666666666666,-1.57,0.14133333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1070.0,0.0,0.0,0.0,-0.5986666666666667,0.0,0.0,-1.0573333333333332,-1.57,0.14266666666666666,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1080.0,0.0,0.0,0.0,-0.608,0.0,0.0,-1.056,-1.57,0.14400000000000002,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1090.0,0.0,0.0,0.0,-0.6173333333333334,0.0,0.0,-1.0546666666666666,-1.57,0.14533333333333334,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1100.0,0.0,0.0,0.0,-0.6266666666666666,0.0,0.0,-1.0533333333333332,-1.57,0.14666666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1110.0,0.0,0.0,0.0,-0.636,0.0,0.0,-1.052,-1.57,0.14800000000000002,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1120.0,0.0,0.0,0.0,-0.6453333333333332,0.0,0.0,-1.0506666666666666,-1.57,0.14933333333333335,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1130.0,0.0,0.0,0.0,-0.6546666666666666,0.0,0.0,-1.0493333333333332,-1.57,0.15066666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1140.0,0.0,0.0,0.0,-0.664,0.0,0.0,-1.048,-1.57,0.152,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1150.0,0.0,0.0,0.0,-0.6733333333333332,0.0,0.0,-1.0466666666666666,-1.57,0.15333333333333335,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1160.0,0.0,0.0,0.0,-0.6826666666666666,0.0,0.0,-1.0453333333333332,-1.57,0.15466666666666667,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1170.0,0.0,0.0,0.0,-0.6920000000000001,0.0,0.0,-1.044,-1.57,0.156,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1180.0,0.0,0.0,0.0,-0.7013333333333333,0.0,0.0,-1.0426666666666666,-1.57,0.15733333333333335,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1190.0,0.0,0.0,0.0,-0.7106666666666667,0.0,0.0,-1.0413333333333332,-1.57,0.15866666666666668,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
1200.0,0.0,0.0,0.0,-0.7199999999999999,0.0,0.0,-1.04,-1.57,0.16,0.0,0.4,0.0,0.0,-1.2,1.57,0.0,0.0
